uf,protocolo,instituto,campo,n,classe,contratante,registro_dt,p360_noticia,nota
AC,BR070462026,DELTA AGENCIA DE PESQUISA,2026-03-16..2026-03-21,1006,ii-imprensa,RADIO E TELEVISAO NORTE LTDA,2026-03-16,,
AC,BR049482026,DATA CONTROL INSTITUTO DE PESQUISA,2026-03-17..2026-03-20,600,ii-imprensa,E. A. DE CARVALHO E CIA LTDA. / AMBIENTA - SOLUCOES AMBIENTAIS,2026-03-19,,
AC,BR031832026,VERITA,2026-03-18..2026-03-24,1030,ii-imprensa,INSTITUTO VERITA LTDA,2026-03-23,,
AC,BR071392026,DATA CONTROL INSTITUTO DE PESQUISA,2026-03-22..2026-03-29,1354,ii-imprensa,E. A. DE CARVALHO E CIA LTDA. / AMBIENTA - SOLUCOES AMBIENTAIS,2026-03-26,,
AC,BR013812026,DELTA AGENCIA DE PESQUISA,2026-04-25..2026-04-30,1006,ii-imprensa,GLOBAL PRESS LATINA LTDA / ALERTA CIDADE.COM; RAIMUNDO ADEMIR M. DE SOUZA / JORNAL DE NOTICIAS DA HORA,2026-04-25,,
AC,BR092732026,DELTA AGENCIA DE PESQUISA,2026-05-13..2026-05-16,800,ii-imprensa,RAIMUNDO ADEMIR M. DE SOUZA / JORNAL DE NOTICIAS DA HORA,2026-05-18,,
AC,BR048872026,VERITA,2026-05-22..2026-05-26,1030,ii-imprensa,INSTITUTO VERITA LTDA,2026-05-21,,
AC,BR059472026,INSTITUTO PARANA DE PESQUISAS E ANALISE DE CONSUMIDOR LTDA,2026-05-31..2026-06-02,1000,i-p360-irma-integra,INSTITUTO PARANA DE PESQUISAS E ANALISE DE CONSUMIDOR LTDA,2026-05-28,,
AC,BR030742026,DELTA AGENCIA DE PESQUISA,2026-06-01..2026-06-06,1200,ii-imprensa,RADIO E TELEVISAO NORTE LTDA,2026-05-31,,
AC,BR088792026,REAL TIME BIG DATA,2026-06-16..2026-06-17,1600,ii-imprensa,REAL TIME MIDIA LTDA,2026-06-12,,
AC,BR067332026,DELTA AGENCIA DE PESQUISA,2026-06-27..2026-06-30,800,ii-imprensa,W.D COMERCIO E SERVICOS LTDA / W.D EMPREENDIMENTOS,2026-06-26,,
AC,BR069942026,DELTA AGENCIA DE PESQUISA,2026-07-11..2026-07-15,1006,ii-imprensa,RADIO E TELEVISAO NORTE LTDA,2026-07-11,,
AC,BR076042026,DELTA AGENCIA DE PESQUISA,2026-08-04..2026-08-09,1006,i-p360-irma-integra,RADIO E TELEVISAO NORTE LTDA,2026-08-05,,
AL,BR049072026,VERITA,2026-03-18..2026-03-24,1220,ii-imprensa,INSTITUTO VERITA LTDA,2026-03-23,,
AL,BR071042026,DATATRENDS,2026-04-22..2026-04-23,1200,ii-imprensa,INSTITUTO DATATRENDS LTDA,2026-04-20,,
AL,BR015532026,VERITA,2026-05-22..2026-05-26,1220,ii-imprensa,INSTITUTO VERITA LTDA,2026-05-21,,
AL,BR052102026,INSTITUTO VOX BRASIL OPINIAO E PESQUISAS LTDA,2026-06-08..2026-06-11,1200,ii-imprensa,MACEIO FM RADIOS DIFUSORAS LTDA / JOVEM PAN NEWS,2026-06-08,,
AL,BR078012026,REAL TIME BIG DATA,2026-06-29..2026-06-30,1600,ii-imprensa,REAL TIME MIDIA LTDA,2026-06-25,,
AL,BR030842026,INSTITUTO VOX BRASIL OPINIAO E PESQUISAS LTDA,2026-07-06..2026-07-08,1200,ii-imprensa,MACEIO FM RADIOS DIFUSORAS LTDA / JOVEM PAN NEWS,2026-07-06,,
AL,BR012392026,PALPE PESQUISAS,2026-07-12..2026-07-20,5000,ii-imprensa,MOVIMENTO DEMOCRATICO BRASILEIRO - ALAGOAS - AL - ESTADUAL / MDB ALAGOAS,2026-07-20,,
AM,BR066242026,DIRETO AO PONTO PESQUISAS,2026-02-27..2026-03-03,1200,ii-imprensa,DCASTRO COMUNICACAO E MARKETING LTDA,2026-03-01,,
AM,BR029442026,"QUAEST PESQUISAS, CONSULTORIA E PROJETOS LTDA.",2026-03-05..2026-03-11,1500,ii-imprensa,REALTIME1 PORTAL DE NOTICIAS LTDA / RT1 AMAZONAS,2026-03-07,,
AM,BR040312026,INSTITUTO PHOENIX & ASSOCIADOS,2026-03-08..2026-03-12,1055,ii-imprensa,FRANCO & RODRIGUES COMUNICACAO SOCIAL  E EMPREENDIMENTOS LTDA / JORNAL CORREIO CONTINENTAL RO,2026-03-06,,
AM,BR041032026,REAL TIME BIG DATA,2026-03-17..2026-03-18,1500,ii-imprensa,REAL TIME MIDIA LTDA,2026-03-13,,
AM,BR027432026,VERITA,2026-03-18..2026-03-24,1220,ii-imprensa,INSTITUTO VERITA LTDA,2026-03-23,,
AM,BR038122026,ATLASINTEL,2026-05-08..2026-05-13,1200,ii-imprensa,ATLASINTEL TECNOLOGIA DE DADOS LTDA,2026-05-08,,
AM,BR068352026,IPEN - INSTITUTO DE PESQUISA DO NORTE,2026-05-17..2026-05-22,1200,ii-imprensa,N.C. DE SOUZA LTDA / BRASIL NORTE COMUNICACAO,2026-05-20,,
AM,BR009352026,VERITA,2026-05-22..2026-05-26,1220,ii-imprensa,INSTITUTO VERITA LTDA,2026-05-21,,
AM,BR018522026,COMUNIDADOS,2026-06-23..2026-06-25,1066,ii-imprensa,JENAV SEVICOS EMPRESARIAIS E COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,2026-06-23,,
AM,BR056202026,DMP PESQUISA E EVENTOS,2026-07-01..2026-07-03,1200,ii-imprensa,REDE DE RADIO E TELEVISAO TIRADENTES LTDA,2026-06-26,,
AM,BR034392026,VERITA,2026-07-01..2026-07-05,1220,ii-imprensa,INSTITUTO VERITA LTDA,2026-06-30,,
AM,BR049562026,VERITA,2026-07-28..2026-08-01,1220,ii-imprensa,INSTITUTO VERITA LTDA,2026-07-27,,
AM,BR080202026,DMP PESQUISA E EVENTOS,2026-08-11..2026-08-14,2000,ii-imprensa,REDE DE RADIO E TELEVISAO TIRADENTES LTDA,2026-08-11,,
AP,BR007892026,REAL TIME BIG DATA,2026-02-07..2026-02-09,2000,i-p360-irma-integra,REAL TIME MIDIA LTDA,2026-02-04,,
AP,BR070042026,INSTITUTO PARANA DE PESQUISAS E ANALISE DE CONSUMIDOR LTDA,2026-03-12..2026-03-15,1220,ii-imprensa,INSTITUTO PARANA DE PESQUISAS E ANALISE DE CONSUMIDOR LTDA,2026-03-11,,
AP,BR019602026,VERITA,2026-03-18..2026-03-24,1030,i-p360-irma-integra,INSTITUTO VERITA LTDA,2026-04-01,,"curada em data/repairs.json (AP Veritá 18-24/03, AP-02183) — aguarda rebuild do polls.json"
AP,BR030382026,DOXA,2026-03-26..2026-03-30,1064,ii-imprensa,DOXA ARTE & COMUNICAO S/S LTDA,2026-03-25,,
AP,BR063602026,VERITA,2026-05-27..2026-05-31,1030,ii-imprensa,INSTITUTO VERITA LTDA,2026-05-26,,
AP,BR047792026,VERITA,2026-07-01..2026-07-05,1030,ii-imprensa,INSTITUTO VERITA LTDA,2026-06-30,,
AP,BR017152026,VERITA,2026-07-28..2026-08-01,1030,i-p360-irma-integra,INSTITUTO VERITA LTDA,2026-07-27,,
