protocolo,instituto,campo,n,contratante,registro_dt,confianca,base
BR067312026,"BOAS IDEIAS, ESTRATEGIA E INTELIGENCIA DIGITAL.",2026-01-08..2026-01-12,2000,BOAS IDEIAS INTELIGENCIA EM PESQUISA E ESTRATEGIA DIGITAL LTDA,2026-01-07,high,muni:abrangencia=nacional
BR008352026,#NULO#,2026-01-08..2026-01-11,2004,"QUAEST PESQUISAS, CONSULTORIA E PROJETOS LTDA.",2026-01-08,high,muni:abrangencia=nacional
BR028042026,ATLASINTEL,2026-01-15..2026-01-20,5000,ATLASINTEL TECNOLOGIA DE DADOS LTDA,2026-01-15,high,plano:universo=brasil
BR082332026,100 CIDADES,2026-01-15..2026-01-19,2000,100% CIDADES PARTICIPACOES LTDA,2026-01-16,high,muni:abrangencia=nacional
BR082542026,#NULO#,2026-01-25..2026-01-28,2080,INSTITUTO PARANA DE PESQUISAS E ANALISE DE CONSUMIDOR LTDA,2026-01-23,high,meto:realizada=nacional
BR037962026,JOTA JORNALISMO,2026-01-05..2026-01-31,5000,JOTA JORNALISMO S/A,2026-01-26,high,plano:universo=brasil
BR091232026,DATA POVO CONSULTORIA,2026-01-18..2026-01-21,1300,DATA POVO INSTITUTO DE PESQUISAS MARKETING E CONSULTORIA LTDA,2026-01-28,high,plano:universo=brasil
BR045192026,GRUPO GERP GERP MERCADO GERP OPINIAO GERPAUDIT,2026-01-26..2026-01-30,2000,GERP MERCADOLOGIA LTDA,2026-01-29,medium,nacional-marker
BR084252026,"BOAS IDEIAS, ESTRATEGIA E INTELIGENCIA DIGITAL.",2026-01-30..2026-02-02,1500,BOAS IDEIAS INTELIGENCIA EM PESQUISA E ESTRATEGIA DIGITAL LTDA,2026-01-29,high,muni:abrangencia=nacional
BR064282026,REAL TIME BIG DATA,2026-02-06..2026-02-07,2000,REAL TIME MIDIA LTDA,2026-02-03,high,meto:universo=brasil
BR022762026,100 CIDADES,2026-02-03..2026-02-07,2000,100% CIDADES PARTICIPACOES LTDA,2026-02-04,high,muni:abrangencia=nacional
BR042912026,#NULO#,2026-02-05..2026-02-09,2004,COLECTTA INSTITUTO DE PESQUISA E ESTATISTICA LTDA,2026-02-05,high,muni:abrangencia=nacional
BR002492026,#NULO#,2026-02-05..2026-02-09,2004,"QUAEST PESQUISAS, CONSULTORIA E PROJETOS LTDA.",2026-02-05,high,muni:abrangencia=nacional
BR076002026,ATLASINTEL,2026-02-19..2026-02-24,5000,ATLASINTEL TECNOLOGIA DE DADOS LTDA,2026-02-19,high,plano:universo=brasil
BR079742026,#NULO#,2026-02-22..2026-02-25,2080,INSTITUTO PARANA DE PESQUISAS E ANALISE DE CONSUMIDOR LTDA,2026-02-21,high,meto:realizada=nacional
BR093532026,REAL TIME BIG DATA,2026-02-28..2026-03-02,2000,REAL TIME MIDIA LTDA,2026-02-25,high,meto:universo=brasil
BR037152026,#NULO#,2026-03-03..2026-03-05,2004,DATAFOLHA INSTITUTO DE PESQUISAS LTDA.,2026-02-27,high,muni:abrangencia=nacional
BR037422026,#NULO#,2026-02-27..2026-03-03,9000,VETOR ARROW INSTITUTO DE PESQUISA E OPINIAO LTDA,2026-02-27,high,muni:abrangencia=nacional
BR066072026,100 CIDADES,2026-03-02..2026-03-06,2000,100% CIDADES PARTICIPACOES LTDA,2026-03-05,high,muni:abrangencia=nacional
BR058092026,#NULO#,2026-03-06..2026-03-09,2004,"QUAEST PESQUISAS, CONSULTORIA E PROJETOS LTDA.",2026-03-05,high,muni:abrangencia=nacional
BR003862026,"BOAS IDEIAS, ESTRATEGIA E INTELIGENCIA DIGITAL.",2026-03-06..2026-03-10,1500,BOAS IDEIAS INTELIGENCIA EM PESQUISA E ESTRATEGIA DIGITAL LTDA,2026-03-05,high,muni:abrangencia=nacional
BR042272026,ATLASINTEL,2026-03-18..2026-03-23,5000,ATLASINTEL TECNOLOGIA DE DADOS LTDA,2026-03-18,high,plano:universo=brasil
BR028462026,GRUPO GERP GERP MERCADO GERP OPINIAO GERPAUDIT,2026-03-21..2026-03-27,2000,GERP MERCADOLOGIA LTDA,2026-03-19,medium,nacional-marker
BR008732026,#NULO#,2026-03-25..2026-03-28,2080,INSTITUTO PARANA DE PESQUISAS E ANALISE DE CONSUMIDOR LTDA,2026-03-24,high,meto:realizada=nacional
BR093712026,JOTA JORNALISMO,2026-03-01..2026-03-30,5000,JOTA JORNALISMO S/A,2026-03-24,high,plano:universo=brasil
BR078752026,NEXUS,2026-03-27..2026-03-29,2000,NEXUS PESQUISA E INTELIGENCIA DE DADOS LTDA,2026-03-24,medium,nacional-marker
BR060582026,ATLASINTEL,2026-03-16..2026-03-23,4200,ATLASINTEL TECNOLOGIA DE DADOS LTDA,2026-03-25,high,plano:universo=brasil
BR024762026,VERITA,2026-03-13..2026-04-04,40500,INSTITUTO VERITA LTDA,2026-03-29,high,muni:abrangencia=nacional
